Epoch,Train_Loss,Eval_Loss
1,0.7427643931472835,0.023214033702970482
2,0.017968227918327855,0.02167855910374783
3,0.02184499224025287,0.02423168416135013
4,0.02241548280224354,0.02452095486556313
5,0.022181798073370472,0.025274440945525254
