Epoch,Train_Loss_Epoch_Avg,Eval_Loss
1,0.743964451440205,0.021055575679513692
2,0.018143059518919764,0.020824859280505086
3,0.021880686809749948,0.02504279145172664
4,0.02233757666785337,0.024890907158676003
5,0.021739927428125486,0.02763517832915698
